"""一次性餐具""","""一次性餐具"""
"""化妆品瓶""","""化妆品瓶"""
"""卫生纸""","""卫生纸"""
"""口罩""","""口罩"""
"""尿片""","""尿片"""
"""打火机""","""打火机"""
"""毛巾""","""毛巾"""
"""污损塑料""","""污损塑料"""
"""烟蒂""","""烟蒂"""
"""牙刷""","""牙刷"""
"""牙签""","""牙签"""
"""破碎花盆及碟碗""","""破碎花盆及碟碗"""
"""竹筷""","""竹筷"""
"""笔""","""笔"""
"""纸杯""","""纸杯"""
"""胶带""","""胶带"""
"""贝壳""","""贝壳"""
"""餐盒""","""餐盒"""
"""剩菜剩饭""","""剩菜剩饭"""
"""坚果""","""坚果"""
"""大骨头""","""大骨头"""
"""残枝落叶""","""残枝落叶"""
"""水果果皮""","""水果果皮"""
"""水果果肉""","""水果果肉"""
"""茶叶渣""","""茶叶渣"""
"""菜梗菜叶""","""菜梗菜叶"""
"""蛋壳""","""蛋壳"""
"""西餐糕点""","""西餐糕点"""
"""鱼骨""","""鱼骨"""
"""传单""","""传单"""
"""保温杯""","""保温杯"""
"""充电宝""","""充电宝"""
"""包""","""包"""
"""塑料玩具""","""塑料玩具"""
"""塑料碗盆""","""塑料碗盆"""
"""塑料衣架""","""塑料衣架"""
"""帽子""","""帽子"""
"""快递纸袋""","""快递纸袋"""
"""手机""","""手机"""
"""报纸""","""报纸"""
"""插头电线""","""插头电线"""
"""插线板""","""插线板"""
"""旧书""","""旧书"""
"""旧衣服""","""旧衣服"""
"""易拉罐""","""易拉罐"""
"""杂志""","""杂志"""
"""枕头""","""枕头"""
"""椅子""","""椅子"""
"""毛绒玩具""","""毛绒玩具"""
"""泡沫塑料""","""泡沫塑料"""
"""洗发水瓶""","""洗发水瓶"""
"""牛奶盒等利乐包装""","""牛奶盒等利乐包装"""
"""玻璃""","""玻璃"""
"""瓶罐""","""瓶罐"""
"""皮鞋""","""皮鞋"""
"""砧板""","""砧板"""
"""纸板箱""","""纸板箱"""
"""纸袋""","""纸袋"""
"""耳机""","""耳机"""
"""调料瓶""","""调料瓶"""
"""酒瓶""","""酒瓶"""
"""金属食品罐""","""金属食品罐"""
"""钟表""","""钟表"""
"""锅""","""锅"""
"""雨伞""","""雨伞"""
"""食用油桶""","""食用油桶"""
"""饮料瓶""","""饮料瓶"""
"""干电池""","""干电池"""
"""废弃水银温度计""","""废弃水银温度计"""
"""废旧灯管灯泡""","""废旧灯管灯泡"""
"""杀虫剂""","""杀虫剂"""
"""电池""","""电池"""
"""胶水""","""胶水"""
"""蓄电池""","""蓄电池"""
"""软膏""","""软膏"""
"""过期药物""","""过期药物"""
"""除草剂容器""","""除草剂容器"""
"""??""","""??"""
"""琴弦""","""琴弦"""
"""车票""","""车票"""
"""纸牌""","""纸牌"""
"""蜡烛铝壳""","""蜡烛铝壳"""
"""水果网套""","""水果网套"""
"""演唱会票""","""演唱会票"""
"""购物小票""","""购物小票"""
"""风油精瓶""","""风油精瓶"""
"""快递单""","""快递单"""
"""吸奶器""","""吸奶器"""
"""糖果盒""","""糖果盒"""
"""热敏纸""","""热敏纸"""
"""电影票""","""电影票"""
"""卸妆水瓶""","""卸妆水瓶"""
"""条码纸""","""条码纸"""
"""登机牌""","""登机牌"""
"""吉他弦""","""吉他弦"""
"""文件袋""","""文件袋"""
"""硒鼓""","""硒鼓"""
"""包装纸盒""","""包装纸盒"""
"""护发素瓶""","""护发素瓶"""
"""快递纸箱""","""快递纸箱"""
"""床上用品""","""床上用品"""
"""真丝围巾""","""真丝围巾"""
"""蓝牙耳机""","""蓝牙耳机"""
"""有机玻璃""","""有机玻璃"""
"""金属徽章""","""金属徽章"""
"""塑料梳子""","""塑料梳子"""
"""八宝粥罐""","""八宝粥罐"""
"""真皮制品""","""真皮制品"""
"""碎玻璃片""","""碎玻璃片"""
"""游戏手柄""","""游戏手柄"""
"""塑料瓶盖""","""塑料瓶盖"""
"""废旧报纸""","""废旧报纸"""
"""平板电脑""","""平板电脑"""
"""矿泉水桶""","""矿泉水桶"""
"""充电牙刷""","""充电牙刷"""
"""塑料果篮""","""塑料果篮"""
"""塑料娃娃""","""塑料娃娃"""
"""电动玩具""","""电动玩具"""
"""金属制品""","""金属制品"""
"""电脑机箱""","""电脑机箱"""
"""五金材料""","""五金材料"""
"""纸质卡片""","""纸质卡片"""
"""皮质钱包""","""皮质钱包"""
"""汽车模型""","""汽车模型"""
"""塑料模型""","""塑料模型"""
"""玻璃碎片""","""玻璃碎片"""
"""泡沬塑料""","""泡沬塑料"""
"""CD塑料盒""","""CD塑料盒"""
"""墨汁瓶""","""墨汁瓶"""
"""啤酒罐""","""啤酒罐"""
"""旧拖鞋""","""旧拖鞋"""
"""运动鞋""","""运动鞋"""
"""羽绒服""","""羽绒服"""
"""废锁头""","""废锁头"""
"""大提琴""","""大提琴"""
"""玻璃杯""","""玻璃杯"""
"""羊毛毡""","""羊毛毡"""
"""牛奶瓶""","""牛奶瓶"""
